;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;2024/2025 Bauteil B;;Bauteil C;;Bauteil A & F ;;Energy Base ;
Sep.24;18990;kWh;3811;kWh;134887;kWh;3681;kWh
Okt.24;13878;kWh;3655;kWh;121964;kWh;3572;kWh
Nov.24;17137;kWh;3541;kWh;125266;kWh;3459;kWh
Dez.24;15950;kWh;3077;kWh;122395;kWh;2885;kWh
J�n.25;15557;kWh;3646;kWh;126590;kWh;3223;kWh
Feb.25;13401;kWh;xx;kWh;xx;kWh;xx;kWh
M�r.25;14412;kWh;3384;kWh;117931;kWh;2669;kWh
Apr.25;14430;kWh;3532;kWh;102289;kWh;2641;kWh
Mai.25;17385;kWh;3369;kWh;111135;kWh;2706;kWh
Jun.25;20806;kWh;5635;kWh;122241;kWh;2502;kWh
Jul.25;20657;kWh;xx;kWh;xx;kWh;xx;kWh
Aug.25;xx;kWh;xx;kWh;xx;kWh;xx;kWh
;;;;;;;;
;;;;;;;;
;2023/2024 Bauteil B ;;Bauteil C;;Bauteil A&F ;;Energy Base ;
Sep.23;21305;kWh;6921;kWh;122112;kWh;2558;kWh
Okt.23;18658;kWh;4554;kWh;122968;kWh;2874;kWh
Nov.23;18520;kWh;4689;kWh;122952;kWh;3375;kWh
Dez.23;15945;kWh;2787;kWh;118328;kWh;2895;kWh
J�n.24;16365;kWh;2994;kWh;116720;kWh;3496;kWh
Feb.24;14933;kWh;xx;kWh;xx;kWh;3967;kWh
M�r.24;16859;kWh;4509;kWh;108920;kWh;2829;kWh
Apr.24;17377;kWh;3235;kWh;111408;kWh;2664;kWh
Mai.24;20844;kWh;3146;kWh;115336;kWh;2511;kWh
Jun.24;24438;kWh;5009;kWh;119784;kWh;3406;kWh
Jul.24;25436;kWh;5321;kWh;111140;kWh;2258;kWh
Aug.24;26426;kWh;5411;kWh;122865;kWh;2429;kWh
;;;;;;;;
;;;;;;;;
;2022/2023 Bauteil B ;;Bauteil C;;Bauteil A&F ;;Energy Base ;
Sep.22;18493;kWh;5706;kWh;115624;kWh;2821;kWh
Okt.22;17265;kWh;4416;kWh;115464;kWh;2893;kWh
Nov.22;17935;kWh;4833;kWh;127296;kWh;3186;kWh
Dez.22;17595;kWh;3960;kWh;121760;kWh;3045;kWh
J�n.23;18239;kWh;3138;kWh;116960;kWh;2900;kWh
Feb.23;14652;kWh;2658;kWh;95008;kWh;3335;kWh
M�r.23;17960;kWh;3423;kWh;108528;kWh;3340;kWh
Apr.23;17058;kWh;3162;kWh;100440;kWh;3712;kWh
Mai.23;21233;kWh;3963;kWh;107280;kWh;2724;kWh
Jun.23;21365;kWh;4587;kWh;111248;kWh;2544;kWh
Jul.23;23806;kWh;4920;kWh;113560;kWh;2544;kWh
Aug.23;21875;kWh;4542;kWh;112872;kWh;2316;kWh
